City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,tanout,14.9709,8.8879,28.160000000000025,9,100,5.02,NE,1712893135
268,easton,40.6884,-75.2207,18.710000000000036,73,100,5.66,US,1712892918
269,douentza,14.9951,-2.9517,29.890000000000043,13,84,2.74,ML,1712893136
270,uturoa,-16.7333,-151.4333,28.950000000000045,77,63,8.97,PF,1712892838
271,sitka,57.0531,-135.33,6.939999999999998,65,40,7.72,US,1712893136
272,tangalle,6.024,80.7911,29.090000000000032,72,97,5.08,LK,1712893136
273,vila franca do campo,37.7167,-25.4333,18.27000000000004,99,77,1.36,PT,1712893137
274,mount pearl,47.5166,-52.7813,0.6400000000000432,78,0,10.29,CA,1712893137
275,port elizabeth,-33.918,25.5701,15.160000000000025,76,20,4.63,ZA,1712893137
276,fale old settlement,-9.3852,-171.2468,30.180000000000007,70,53,3.61,TK,1712893138
277,mermoz boabab,14.7065,-17.4758,21.310000000000002,94,75,5.14,SN,1712893138
278,sisimiut,66.9395,-53.6735,-6.1200000000000045,90,95,3.36,GL,1712893138
279,gereshk,31.8209,64.5701,17.610000000000014,75,100,2.89,AF,1712893138
280,sola,-13.8833,167.55,28.590000000000032,79,44,4.44,VU,1712893138
281,island harbour,50.724,-1.2758,11.110000000000014,90,100,3.13,GB,1712893139
282,ponoka,52.6768,-113.5815,8.270000000000039,49,100,6.24,CA,1712893012
283,macapa,0.0389,-51.0664,25.99000000000001,94,100,2.57,BR,1712893139
284,portage la prairie,49.9728,-98.2926,6.050000000000011,64,40,3.09,CA,1712893139
285,badger,64.8,-147.5333,6.140000000000043,48,75,4.12,US,1712893139
286,bardai,11.65,7.2333,27.460000000000036,11,100,3.97,NG,1712893139
287,greymouth,-42.4667,171.2,12.360000000000014,79,100,4.49,NZ,1712892967
288,utrik,11.2278,169.8474,26.760000000000048,75,100,8.36,MH,1712893140
289,tripoli,32.8752,13.1875,17.0,89,100,5.63,LY,1712893009
290,ernee,48.2976,-0.9314,9.75,86,86,1.43,FR,1712893141
291,usinsk,65.9939,57.5281,1.7100000000000364,99,100,10.28,RU,1712893141
292,zaozersk,69.4005,32.4476,-2.0399999999999636,89,99,5.57,RU,1712893141
